"Subject","Course","Course_Title","As","Bs","Cs","Ds","Fs","GPA","N"
"A A",210,"ENGR STATICS",70,147,38,3,1,3,268
"A A",310,"ORB SPACE FLIGHT",27,36,9,0,0,3.2,73
"A A",311,"ATM FLIGHT MECH",33,38,0,0,0,3.4,72
"A A",320,"AEROSPACE INSTR",34,33,5,0,0,3.2,73
"A A",402,"FLUID MECHANICS",20,14,0,0,0,3.4,34
"A A",405,"AEROSPACE PLASMAS",8,19,3,0,0,3.1,30
"A A",430,"FINTE ELEMENT ANALYS",10,27,2,0,0,3.2,39
"A A",447,"CONT IN AEROSP",37,21,4,0,0,3.3,62
"A A",461,"ADV AIRBREATH PROPL",10,17,3,0,0,3.3,30
"A A",470,"SYSTEMS ENGINEERING",14,1,0,0,0,3.6,15
"A A",504,"COMP FLUID MECH",13,4,0,0,0,3.6,17
"A A",530,"MECHANICS OF SOLIDS",17,2,0,0,0,3.7,20
"A E",501,"ANALYTICAL METHODS",9,24,0,0,0,3.3,34
"A E",529,"AE TOPICS: FLUIDS",8,7,1,0,0,3.2,17
"A E",549,"AE TOPICS: STRUC",10,3,1,0,0,3.5,14
"A E",559,"AE TOPICS: COMPSTS",19,6,0,0,0,3.5,25
"A S",101,"FOUNDATION USAF I",43,8,0,0,0,3.73333333333333,53
"AAS",330,"ASIAN AMER THEATER",34,9,0,0,0,3.6,43
"AAS",360,"CRIT FIL-AM HISTS",30,10,0,1,2,3.4,43
"AAS",370,"JPN AM HIST CLTR",25,16,1,0,0,3.5,42
"AAS",385,"AAS RACE LAW JUSTCE",18,25,0,0,1,3.2,44
"AAS",395,"POST VIET WAR AAS AM",17,8,1,0,0,3.4,27
"ACADEM",197,"RESEARCH SEMINARS",28,10,1,0,0,3.5,39
"ACCTG",215,"ACCTG & FIN REPRTNG",172,173,94,2,4,3,468
"ACCTG",225,"MANAGERIAL ACCTG",70,176,41,11,2,2.9,311
"ACCTG",301,"INTERMED ACCTG I",59,52,4,0,0,3.23333333333333,118
"ACCTG",302,"INTERMED ACCTG II",12,11,5,0,0,3.2,28
"ACCTG",303,"INTERMED ACCTG III",15,19,9,0,0,3,45
"ACCTG",311,"COST ACCOUNTING",22,32,0,0,0,3.4,55
"ACCTG",320,"ACCTG INFO SYSTEMS",14,27,0,0,0,3.2,43
"ACCTG",321,"TAX EFF OF BUS DECS",21,33,4,0,0,3.2,60
"ACCTG",411,"AUDIT STANDRDS PRIN",23,31,0,0,0,3.3,55
"ACCTG",440,"ACC & FIN MGT DEC",15,20,0,0,0,3.4,35
"ACCTG",485,"ADV FIN ACCTG",8,8,1,0,0,3.2,17
